impulse_id,origin_time,origin_price,extreme_time,extreme_price,delta_t,delta_p,slope_raw,slope_log,quality_score,detector_name,direction,origin_bar_index,extreme_bar_index
pivot_n5_1723,2020-04-07 00:00:00+00:00,7466.0,2020-04-16 00:00:00+00:00,6456.0,9,-1010.0,-112.22222222222223,-0.016149938836082706,0.4511836951019287,pivot_n5,down,1723,1732
pivot_n5_1732,2020-04-16 00:00:00+00:00,6456.0,2020-10-31 00:00:00+00:00,14098.92,198,7642.92,38.60060606060606,0.003944890241101971,0.7279138726280575,pivot_n5,up,1732,1930
pivot_n5_1746,2020-04-30 00:00:00+00:00,9478.66,2020-05-10 00:00:00+00:00,8106.7,10,-1371.96,-137.196,-0.015635207580156917,0.5814263731007523,pivot_n5,down,1746,1756
pivot_n5_1753,2020-05-07 00:00:00+00:00,10079.0,2020-05-10 00:00:00+00:00,8106.7,3,-1972.3000000000002,-657.4333333333334,-0.07258772370307753,1.0,pivot_n5,down,1753,1756
pivot_n5_1756,2020-05-10 00:00:00+00:00,8106.7,2020-11-25 00:00:00+00:00,19500.0,199,11393.3,57.25276381909547,0.004410671282945693,1.0,pivot_n5,up,1756,1955
pivot_n5_1764,2020-05-18 00:00:00+00:00,9957.25,2020-05-25 00:00:00+00:00,8632.93,7,-1324.3199999999997,-189.18857142857138,-0.020388138322236595,0.6708063969684012,pivot_n5,down,1764,1771
pivot_n5_1771,2020-05-25 00:00:00+00:00,8632.93,2020-12-01 00:00:00+00:00,19915.14,190,11282.21,59.38005263157894,0.004399454135192302,1.0,pivot_n5,up,1771,1961
pivot_n5_1778,2020-06-01 00:00:00+00:00,10428.0,2020-06-27 00:00:00+00:00,8815.01,26,-1612.9899999999998,-62.038076923076915,-0.00646302099200447,0.4239340289760971,pivot_n5,down,1778,1804
pivot_n5_1787,2020-06-10 00:00:00+00:00,10018.67,2020-06-27 00:00:00+00:00,8815.01,17,-1203.6599999999999,-70.8035294117647,-0.007529082472743185,0.39123044647918814,pivot_n5,down,1787,1804
pivot_n5_1792,2020-06-15 00:00:00+00:00,8895.01,2021-01-01 00:00:00+00:00,29688.88,200,20793.870000000003,103.96935000000002,0.006026410597903842,1.0,pivot_n5,up,1792,1992
pivot_n5_1799,2020-06-22 00:00:00+00:00,9792.0,2020-06-27 00:00:00+00:00,8815.01,5,-976.9899999999998,-195.39799999999997,-0.021021955098166244,0.5855424613804835,pivot_n5,down,1799,1804
pivot_n5_1804,2020-06-27 00:00:00+00:00,8815.01,2021-01-08 00:00:00+00:00,41986.37,195,33171.36,170.10953846153848,0.008004559443720301,1.0,pivot_n5,up,1804,1999
pivot_n5_1812,2020-07-05 00:00:00+00:00,8905.84,2021-01-08 00:00:00+00:00,41986.37,187,33080.53,176.90122994652407,0.008292180751246206,1.0,pivot_n5,up,1812,1999
